Route:,1
Operator:,RHT
Location 1:,Port Louis
Location 2:,Rose Hill
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,"Belle Etoile (Tamil Social
Hall)"
5,"Beau Bassin (Vinayak
Mandir)"
6,"Beau Bassin (Cercle de
Beau Bassin)"
7,"Rose Hill (Place Cardinal
Margeot)"


Route:,1A
Operator:,RHT
Location 1:,Port Louis
Location 2:,Rose Hill
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Serge Alfred
Swimming Pool)"
7,"Hugnin Road (Rose Hill
Transport Garage)"
8,"Boundary Road (St Patrick
Church)"
9,Rose Hill (Market)


Route:,1B
Operator:,RHT
Location 1:,Port Louis
Location 2:,Rose Hill
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Cascadelle (Beeneesreesing
House)"
7,"Rose Hill (Junction
Vandermeersch / Malartic
Streets)"
8,"Rose Hill (Place Cardinal
Margeot)"


Route:,1C
Operator:,RHT
Location 1:,Port Louis
Location 2:,Rose Hill
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6A,Barkly (Housing Estate)
6,"Beau Bassin (Serge Alfred
Swimming Pool)"
7,"Hugnin Road (Rose Hill
Transport Garage)"
8,"Boundary Road (St Patrick
Church)"
9,Rose Hill (Market)


Route:,1D
Operator:,RHT
Location 1:,Port Louis
Location 2:,Saint Martin
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Lycee de Beau
Bassin)"
7,"Mont Roches (Co-operative
Store)"
8,Saint Martin (Cemetery)


Route:,2A
Operator:,UBS
Location 1:,Port Louis
Location 2:,Curepipe
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,"Rose Hill (Place Cardinal
Margeot)"
8,Belle Rose (Pepsi Cola)
9,"Pellegrin (Trianon Shopping
Park)"
10,Phoenix (Pont Fer)
11,Phoenix (Police Station)
12,Castel (Magasin Etoile Brillant)
13,"Eau Coulee (Neergheen
Bhawan)"
14,Curepipe (Jan Palach North)


Route:,2A
Operator:,UBS
Location 1:,Port Louis
Location 2:,Curepipe
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,"Rose Hill (Place Cardinal
Margeot)"
8,Belle Rose (Pepsi Cola)
9,"Pellegrin (Trianon Shopping
Park)"
10,Phoenix (Pont Fer)
11,Phoenix (Police Station)
12,Castel (Magasin Etoile Brillant)
13,"Eau Coulee (Neergheen
Bhawan)"
14,Forest Side


Route:,3
Operator:,NTC
Location 1:,Port Louis
Location 2:,Vacoas
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,"Rose Hill (Place Cardinal
Margeot)"
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Candos (Victoria Hospital)
12,La Caverne (Modern Complex)
13,Vacoas (Bus Station)


Route:,3A
Operator:,NTC
Location 1:,Port Louis
Location 2:,Vacoas / Phoenix
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,"Rose Hill (Place Cardinal
Margeot)"
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Candos (Victoria Hospital)
12,La Caverne (Modern Complex)
13,Vacoas (Bus Station)
14,"Phoenix (Indira Gandhi Cultural
Centre)"


Route:,3B
Operator:,NTC
Location 1:,Port Louis
Location 2:,Bord Cascade
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,Rose Hill (Place Cardinal Margeot)
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Candos (Victoria Hospital)
12,La Caverne (Modern Complex)
13,Hollyrood (Optiprix Store)
14,Glen Park (Shivala)
15,Henrietta (Chapel)
16,Bord Cascade


Route:,3C
Operator:,NTC
Location 1:,Port Louis
Location 2:,Bassin
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,Rose Hill (Place Cardinal Margeot)
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Bassin


Route:,3D
Operator:,NTC
Location 1:,Port Louis
Location 2:,La Marie
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,Rose Hill (Place Cardinal Margeot)
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Candos (Victoria Hospital)
12,La Caverne (Modern Complex)
13,Hollyrood (Optiprix Store)
14,Glen Park (Shivala)
15,La Marie (Entrance)
16,La Marie (Terminus)


Route:,4
Operator:,NTC
Location 1:,Quatre Bornes
Location 2:,Curepipe
0,Quatre Bornes (Traffic Centre)
1,Candos (Victoria Hospital)
2,La Caverne (Modern Complex)
3,Vacoas (S.M.F.)
4,Saint Paul (Magasin Lotus)
5,Castel (Magasin Etoile Brillant)
6,Eau Coulee (Neergheen Bhawan)
7,Curepipe (Jan Palach North)


Route:,4A
Operator:,NTC
Location 1:,Quatre Bornes
Location 2:,Curepipe
0,Quatre Bornes (Traffic Centre)
1,Candos (Victoria Hospital)
2,La Caverne (Modern Complex)
3,Vacoas (S.M.F.)
4,Junction Floreal / Riverwalk Roads
5,Floreal (Knitwear Factory)
6,Curepipe Road (Darne Clinic)
7,Curepipe (Jan Palach North)


Route:,5
Operator:,"Individual
Operator"
Location 1:,Quatre Bornes
Location 2:,Baie du Cap
0,Quatre Bornes (Traffic Centre)
1,La Louise
2,Palma (Government School)
